idx	route	width	pref	http	dom_bytes	dom_sha256	shot_bytes
050	/knowledge	768	no-preference	200	50363	e5511c27fd0f7c8b2245200d0fc6a334d2d89b8257b55ba3a3e2e3644e00c28c	42951
051	/knowledge	1024	no-preference	200	50363	806c55ac11865637b519c25827dbd92232dad0a06288da774178b7787842300a	84571
052	/knowledge	1440	no-preference	200	50363	785c0e3de4de95ad08c70a2c70f219d6220024ff66d903445a8f2acfde936ff2	96437
053	/knowledge	375	reduce	200	50363	79e34d0940fa3518aae0425df408505b7954103d5d313763253ac09ae4520736	36406
054	/knowledge	768	reduce	200	50363	34d031ea05c710b046a453fffb47aa116f63da3c7360ea61c3f2211f99d399b4	42923
055	/knowledge	1024	reduce	200	50363	f89b2b3ea747de5863dcac11678bb0082aec707a5066733046a21e45c792ddec	83057
056	/knowledge	1440	reduce	200	50363	89015e8ad081475044b3553e6a45016f6c296e6c4752d1056e6576effd4fb413	95495
057	/knowledge?view=table	375	no-preference	200	50431	3667c09b9c331d0299a738050da9a16dc96dc3c7989ed61e397f5f5c3ba57fe0	36326
058	/knowledge?view=table	768	no-preference	200	50431	805e361d176b6e05177a14eb853ac8a00f881eff535541eb74b16d9b9e26a139	42955
059	/knowledge?view=table	1024	no-preference	200	50431	b4ab065c66fdddbdd53e4d69808d67eb6977ffb8a0f1b3715009d3565fdfe2dd	84481
060	/knowledge?view=table	1440	no-preference	200	50431	975a8c8971c68456531a4dfb649c6c3501e72c0b10bbf4dd6d98fe850d3314a5	96394
061	/knowledge?view=table	375	reduce	200	50431	4e1a63a03322e68a3bcea94cb5bdc1d92a47b8cd0adb84bf0334b684f0cf34a7	36356
062	/knowledge?view=table	768	reduce	200	50431	c8e74343bb8efed5201177b3fa4a6d761287125300d2c357d34c21c81ccc736f	42924
063	/knowledge?view=table	1024	reduce	200	50431	12908866cdd4a2460012883c50c16b896f634ae609e226cbd958dce64481f838	82976
064	/knowledge?view=table	1440	reduce	200	50431	87409ede2abef63a713c202475329c72e224298d247c7a8f8139ab50d35494f7	95452
065	/artifacts	375	no-preference	200	47184	fa3f60c8247fb2caf195455fb014da899a3965da0cb1304a68874186083162e4	22549
066	/artifacts	768	no-preference	200	47184	8297db70131645c2fed0a52f3bb6e419fd9b1ee82ca20e34db8fa951d21d5afe	30144
067	/artifacts	1024	no-preference	200	47184	6f8109f7e3ed4c796d2eb9f1376c0c3e4c0ec302cf1cda3547ea951ee3d7b4b3	53018
068	/artifacts	1440	no-preference	200	47184	b2be214b3a4ec75c4cd366679f2a6dd70296284c21d20d708a22c51205b807d6	64706
069	/artifacts	375	reduce	200	47184	371a0f6f0b5d21f448a4c347db79f60c0654aab289d4c686d74b2c90bad1fa23	22549
070	/artifacts	768	reduce	200	47184	2e29a6c17392246365a40b49f122884223c1e50a63b6a41200598dabef3dcd24	30144
071	/artifacts	1024	reduce	200	47184	cc97943a1b1d030d83f130416eb80814535f104cbd1a0b63a22c235439160de6	52988
072	/artifacts	1440	reduce	200	47184	f9f887ca971e8b53c97abf403d0ca15185f1dad6995831de0e9b344538817f74	65308
